MAE,MAE_gain_pct,MSE,MSE_gain_pct,base_MAE,base_MSE,base_root,dataset,model_id,seed,status,variant
0.46247848868370056,1.0084780874562516,0.754214346408844,0.33689103753114075,0.4671899974346161,0.7567638158798218,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_integral_e3_s5301,5301,done,integral
0.4635959267616272,4.502649955574698,0.7556079030036926,1.2531590116620537,0.4854542315006256,0.7651970386505127,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_integral_e3_s5302,5302,done,integral
0.46011701226234436,0.20190430634380938,0.7526605129241943,0.07024139107709586,0.461047887802124,0.7531895637512207,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_integral_e3_s5303,5303,done,integral
0.46245649456977844,1.0131858324942213,0.7537822723388672,0.3939860070460974,0.4671899974346161,0.7567638158798218,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_mix_e3_s5301,5301,done,mix
0.4632147252559662,4.581174661082497,0.7555577158927917,1.2597177290075088,0.4854542315006256,0.7651970386505127,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_mix_e3_s5302,5302,done,mix
0.4601510167121887,0.19452883608485994,0.7527114152908325,0.06348314997977275,0.461047887802124,0.7531895637512207,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_mix_e3_s5303,5303,done,mix
0.4617782533168793,1.1583604416732398,0.7535112500190735,0.4297993366618385,0.4671899974346161,0.7567638158798218,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_gate_e3_s5301,5301,done,gate
0.46184349060058594,4.863638911345908,0.753902792930603,1.4759918229464126,0.4854542315006256,0.7651970386505127,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_gate_e3_s5302,5302,done,gate
0.45905381441116333,0.4325089526961513,0.7521173357963562,0.14235831276316782,0.461047887802124,0.7531895637512207,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_gate_e3_s5303,5303,done,gate
0.4618605375289917,1.1407478616599138,0.7535990476608276,0.41819761365238467,0.4671899974346161,0.7567638158798218,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_safe_gate_e3_s5301,5301,done,safe_gate
0.46167272329330444,4.898815720239637,0.7542335987091064,1.432760372510219,0.4854542315006256,0.7651970386505127,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_safe_gate_e3_s5302,5302,done,safe_gate
0.45902153849601746,0.43950950860363797,0.7521848678588867,0.13339216854388553,0.461047887802124,0.7531895637512207,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_safe_gate_e3_s5303,5303,done,safe_gate
